"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         146,      -6.741769338,      -6.472117908,      -6.743400371,      -6.663372859,      -6.112684537,      -9.581861243
          0,           0,         147,      -6.748512343,      -6.475707696,      -6.748818813,      -6.668976861,      -6.119557314,      -9.583892783
          0,           0,         148,      -6.755124676,      -6.479224319,      -6.754108482,      -6.674437333,      -6.126236346,      -9.585941304
          0,           0,         149,       -6.76092939,      -6.482616478,      -6.759241598,      -6.679692425,      -6.132065021,      -9.588018033
          0,           0,         150,      -6.766567413,      -6.485915601,      -6.764196242,      -6.684698776,      -6.137673988,      -9.590134955
          0,           0,         151,      -6.772210653,       -6.48916363,      -6.768969321,      -6.689483913,      -6.143252607,      -9.592302758
          0,           0,         152,      -6.778300927,      -6.492390959,      -6.773557367,      -6.694066065,      -6.149241022,      -9.594528024
          0,           0,         153,      -6.784990945,      -6.495629009,      -6.777957227,      -6.698495739,      -6.155812748,      -9.596820126
          0,           0,         154,      -6.792343982,      -6.498885415,      -6.782192824,      -6.702814473,      -6.163045966,      -9.599180473
          0,           0,         155,      -6.800415206,      -6.502158568,      -6.786279406,      -6.707028286,      -6.170993812,      -9.601583683
          0,           0,         156,      -6.808861593,      -6.505442406,      -6.790225139,      -6.711122093,      -6.179316134,      -9.604029897
          0,           0,         157,      -6.817650293,      -6.508720962,      -6.794053053,       -6.71510266,      -6.187992619,      -9.606516911
          0,           0,         158,      -6.826900921,      -6.512018827,       -6.79778789,      -6.719036946,      -6.197140608,      -9.609040553
          0,           0,         159,      -6.836322389,      -6.515348552,      -6.801437471,       -6.72294601,      -6.206482116,      -9.611603966
          0,           0,         160,      -6.846229315,       -6.51866857,      -6.805009338,      -6.726833539,      -6.216292315,      -9.614202965
          0,           0,         161,      -6.856256782,      -6.521989667,      -6.808543032,      -6.730691669,      -6.226221439,      -9.616837618
          0,           0,         162,      -6.866189235,      -6.525300665,      -6.812069983,      -6.734526189,      -6.236060523,      -9.619520036
          0,           0,         163,      -6.876411285,      -6.528601541,      -6.815610762,      -6.738367577,      -6.246167225,      -9.622225025
