"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Velocity:0","Velocity:1","Velocity:2","Y_Plus","Points:0","Points:1","Points:2"
0.45076,0,1.273,-0,5.9903e-08,0,0,0,0,0,0.50919,-1.0087,0.0046404,-0.0010002,0.001501,1.1146,0,0,0,1.3421,0.39209,0.65,0.015478
0.94185,0,2.6964,-0,6.0523e-08,0,0,0,0,0,1.0786,0.13008,0.00091956,0.00024119,-0.00010908,1.1299,0,0,0,0.84178,0.94421,0.65,0.0059124
0.95333,0,2.7304,-0,6.0542e-08,0,0,0,0,0,1.0922,0.15727,0.000806,0.00025458,-9.5374e-05,1.1303,0,0,0,0.79794,0.95385,0.65,0.0046585
0.5158,0,1.4575,-0,5.9926e-08,0,0,0,0,0,0.58299,-0.86105,0.0035975,-0.00036328,0.00044939,1.1151,0,0,0,1.2267,0.42929,0.65,0.02139
0.52921,0,1.4961,-0,5.995e-08,0,0,0,0,0,0.59843,-0.83017,0.003537,-0.00031401,0.00040927,1.1157,0,0,0,1.2312,0.43422,0.65,0.021994
0.47761,0,1.3476,-0,5.9863e-08,0,0,0,0,0,0.53904,-0.94895,0.0037689,-0.00050275,0.00055775,1.1136,0,0,0,1.2145,0.41626,0.65,0.019757
0.47058,0,1.3278,-0,5.9863e-08,0,0,0,0,0,0.53112,-0.96479,0.0038186,-0.00054317,0.00059482,1.1136,0,0,0,1.2142,0.41405,0.65,0.019426
0.92448,0,2.6451,-0,6.0496e-08,0,0,0,0,0,1.058,0.089059,0.0010934,0.00021627,-0.00012377,1.1292,0,0,0,0.90325,0.92805,0.65,0.0079553
0.93678,0,2.6814,-0,6.0515e-08,0,0,0,0,0,1.0726,0.11811,0.00096918,0.00023401,-0.00011336,1.1297,0,0,0,0.85938,0.93948,0.65,0.0065127
0.77678,0,2.2133,-0,6.0307e-08,0,0,0,0,0,0.88532,-0.25639,0.0031295,-0.00013946,6.6686e-05,1.1245,0,0,0,1.3882,0.65055,0.65,-0.02948
0.77674,0,2.2131,-0,6.0306e-08,0,0,0,0,0,0.88525,-0.25652,0.0031444,-0.00014216,6.1328e-05,1.1245,0,0,0,1.3916,0.64723,0.65,-0.02959
0.8637,0,2.4683,-0,6.0443e-08,0,0,0,0,0,0.98733,-0.052368,0.0015376,0.0001435,-0.00013832,1.1279,0,0,0,1.0274,0.84399,0.65,0.016735
0.87049,0,2.4879,-0,6.0447e-08,0,0,0,0,0,0.99517,-0.036697,0.0015,0.00015123,-0.00013837,1.128,0,0,0,1.019,0.8548,0.65,0.015691
0.88509,0,2.53,-0,6.0452e-08,0,0,0,0,0,1.012,-0.0030572,0.0014141,0.00016359,-0.00013836,1.1281,0,0,0,0.9988,0.87963,0.65,0.013274
0.58838,0,1.6664,-0,6.0033e-08,0,0,0,0,0,0.66657,-0.6939,0.0033691,-0.00018878,0.00013179,1.1178,0,0,0,1.2601,0.52759,0.65,0.02846
0.58842,0,1.6665,-0,6.0033e-08,0,0,0,0,0,0.66662,-0.6938,0.0033684,-0.00018864,0.00013091,1.1178,0,0,0,1.26,0.52801,0.65,0.02848
0.58831,0,1.6663,-0,6.0034e-08,0,0,0,0,0,0.6665,-0.69403,0.0033689,-0.00018876,0.00013445,1.1178,0,0,0,1.26,0.52624,0.65,0.028393
0.58673,0,1.6623,-0,6.005e-08,0,0,0,0,0,0.66493,-0.69717,0.003367,-0.00018961,0.00019258,1.1182,0,0,0,1.2581,0.49694,0.65,0.026949
0.58632,0,1.6613,-0,6.0055e-08,0,0,0,0,0,0.66454,-0.69795,0.0033647,-0.0001884,0.00020941,1.1183,0,0,0,1.2573,0.48821,0.65,0.026495
1.1122,0,3.1942,-0,6.0668e-08,0,0,0,0,0,1.2777,0.52833,0.0017949,0.0015084,0.0031072,1.1335,0,0,0,1.8405,0.37561,0.65,0.0024836
0.98446,0,2.8172,-0,6.05e-08,0,0,0,0,0,1.1269,0.22669,0.0028654,0.00086013,0.0039244,1.1293,0,0,0,1.9538,0.37677,0.65,0.0051768
0.96839,0,2.7697,-0,6.0479e-08,0,0,0,0,0,1.1079,0.18872,0.0029999,0.00077906,0.0040312,1.1288,0,0,0,1.9691,0.37692,0.65,0.0055298
0.98631,0,2.829,-0,6.061e-08,0,0,0,0,0,1.1316,0.2362,0.00049782,0.00027889,-5.4845e-05,1.132,0,0,0,0.66577,0.98319,0.65,0.00082248
0.98675,0,2.8304,-0,6.0611e-08,0,0,0,0,0,1.1322,0.23728,0.00049559,0.00027858,-5.4565e-05,1.1321,0,0,0,0.66469,0.98355,0.65,0.00077454
0.9807,0,2.8123,-0,6.06e-08,0,0,0,0,0,1.1249,0.22284,0.00052692,0.00028128,-5.8558e-05,1.1318,0,0,0,0.67941,0.9792,0.65,0.0013441
0.82973,0,2.3707,-0,6.0433e-08,0,0,0,0,0,0.94829,-0.13045,0.0016659,0.00012027,-0.00013256,1.1277,0,0,0,1.047,0.79763,0.65,0.020837
0.83075,0,2.3737,-0,6.0434e-08,0,0,0,0,0,0.94947,-0.12809,0.0016616,0.0001211,-0.00013277,1.1277,0,0,0,1.0463,0.79945,0.65,0.020677
0.64511,0,1.8361,-0,6.0255e-08,0,0,0,0,0,0.73442,-0.55819,0.002538,-8.5765e-05,-5.8103e-05,1.1233,0,0,0,1.1397,0.65023,0.65,0.029489
0.71293,0,2.0323,-0,6.0328e-08,0,0,0,0,0,0.81291,-0.40121,0.0020839,2.8307e-05,-0.00010026,1.125,0,0,0,1.0849,0.69723,0.65,0.027776
0.58694,0,1.6633,-0,6.006e-08,0,0,0,0,0,0.66533,-0.69637,0.003253,-0.00018513,6.4264e-05,1.1184,0,0,0,1.2357,0.56441,0.65,0.029488
0.59366,0,1.6837,-0,6.0097e-08,0,0,0,0,0,0.6735,-0.68004,0.0031252,-0.00016586,3.0807e-05,1.1193,0,0,0,1.217,0.57983,0.65,0.029863
0.60621,0,1.7214,-0,6.0153e-08,0,0,0,0,0,0.68857,-0.64988,0.0029166,-0.00013847,-6.4848e-06,1.1207,0,0,0,1.1865,0.60554,0.65,0.029841
0.64073,0,1.8233,-0,6.0249e-08,0,0,0,0,0,0.72933,-0.56837,0.0025709,-9.2591e-05,-5.5206e-05,1.1231,0,0,0,1.1436,0.64723,0.65,0.02959
0.80852,0,2.3045,-0,6.0322e-08,0,0,0,0,0,0.92181,-0.18341,0.0033588,-0.00012281,-0.00013193,1.1249,0,0,0,1.4671,0.52624,0.65,-0.028393
0.82164,0,2.3425,-0,6.0335e-08,0,0,0,0,0,0.93701,-0.153,0.0034045,-0.00010253,-0.00019109,1.1252,0,0,0,1.4892,0.49694,0.65,-0.026949
0.80771,0,2.3022,-0,6.0322e-08,0,0,0,0,0,0.92087,-0.1853,0.0033559,-0.00012404,-0.00012835,1.1249,0,0,0,1.4657,0.52801,0.65,-0.02848
0.80792,0,2.3028,-0,6.0322e-08,0,0,0,0,0,0.92111,-0.18482,0.0033567,-0.00012375,-0.00012921,1.1249,0,0,0,1.4661,0.52759,0.65,-0.02846
0.89495,0,2.5587,-0,6.0461e-08,0,0,0,0,0,1.0235,0.019896,0.0013408,0.00017594,-0.00013584,1.1283,0,0,0,0.97861,0.89291,0.65,0.01187
0.90573,0,2.5901,-0,6.0472e-08,0,0,0,0,0,1.036,0.04503,0.0012645,0.00018926,-0.00013312,1.1286,0,0,0,0.95757,0.90701,0.65,0.01037
0.9945,0,2.8536,-0,6.0626e-08,0,0,0,0,0,1.1414,0.25583,7.377e-05,5.0025e-05,-0.0001608,1.1324,0,0,0,0.40969,0.98933,0.65,-1.8468e-05
0.99079,0,2.8428,-0,6.0625e-08,0,0,0,0,0,1.1371,0.24723,0.0011421,0.00020507,0.00014184,1.1324,0,0,0,0.95269,0.9869,0.65,-0.00033675
0.99472,0,2.8542,-0,6.0626e-08,0,0,0,0,0,1.1417,0.25633,1.1677e-05,4.1347e-05,-0.00017861,1.1324,0,0,0,0.3784,0.98947,0.65,0
