"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
105, 7.519999985000000e-03, 1.365980900201841e-02, 9.508476374616597e-02, 1.589227274302741e-01, -6.378418938739792e-01, 2.852040334989244e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.528450823508898e-01
106, 1.049000024800000e-02, 1.577483236100317e-02, 1.871532557739580e-01, 1.953967150071616e-02, -6.014561118713616e-01, 4.992725353775047e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.933212513816264e-02
107, 1.394999958600000e-02, 1.778887423539533e-02, 2.260694589690559e-01, -6.332670694290714e-02, -5.303433205494218e-01, 5.856626489505968e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.021636266158047e-02
108, 1.789999939500000e-02, 1.970722225132203e-02, 2.750430650124883e-01, -1.429964597555642e-01, -4.744099105813973e-01, 7.029185761659196e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.053466993213513e-01
109, 2.232000045500000e-02, 2.152718859220005e-02, 4.111716674522481e-01, -2.868955162382406e-01, -4.640679174362533e-01, 1.029919615526709e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.361741790003417e-01
110, 2.723000012300000e-02, 2.326317836602845e-02, 5.979453948809464e-01, -4.693048293003200e-01, -4.684491304708266e-01, 1.485948368248730e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.430971298789000e-01
111, 3.260000050100000e-02, 2.491053149413132e-02, 7.273169909306990e-01, -6.003154901756549e-01, -4.458769683536295e-01, 1.812915472196421e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.118978172398181e-01
112, 3.844000026600000e-02, 2.647886766524364e-02, 7.518805088419610e-01, -6.371367611711956e-01, -3.943962583124124e-01, 1.887112364470533e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.202751953336776e-02
113, 4.473999887700000e-02, 2.797111513275460e-02, 7.082558415517513e-01, -6.097839539184323e-01, -3.361097856206842e-01, 1.787222705283460e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.014233166267230e-01
114, 5.149000138000000e-02, 2.939070028378966e-02, 6.484012331688592e-01, -5.641518928827874e-01, -2.863595896119170e-01, 1.639550617518202e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.056130555125540e-01
115, 5.869000032500000e-02, 3.074305866474258e-02, 5.959009249806009e-01, -5.225412868652335e-01, -2.468712266883946e-01, 1.506464990973134e-01, 0.000000000000000e+00, 0.000000000000000e+00, -8.768220550379638e-02
116, 6.633000075800000e-02, 3.203138293111152e-02, 5.518676743958397e-01, -4.870271181837600e-01, -2.146217912747710e-01, 1.394142817939651e-01, 0.000000000000000e+00, 0.000000000000000e+00, -7.138779764599412e-02
117, 7.440000027400000e-02, 3.325896745610608e-02, 5.132823119148174e-01, -4.554103777298748e-01, -1.875254570804863e-01, 1.295841752523059e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.943571930600219e-02
118, 8.290000259900000e-02, 3.443040925012778e-02, 4.791818260866150e-01, -4.270415997181896e-01, -1.646769546582533e-01, 1.208917416293980e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.017746896434687e-02
