Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
98,1.34952,3.80572,0.00511058,-0.00115271,0.00859006,0,0.00866705,6e-05,-0.00137533,0,0.00137664,1.52228,1.1658,1.12801,-0.000854158,0.00636525,0,0.0064223
99,1.33551,3.76835,0.084459,0,0.141647,0,0.141647,0,0,0,0,1.50433,1.12575,1.12641,0,0.106062,0,0.106062
100,1.33409,3.77033,0.164898,0.0366684,0.273255,0,0.275705,6e-05,0.00137533,0,0.00137664,1.49674,1.10879,1.12192,0.0274857,0.204825,0,0.206661
101,1.304,3.70088,0.285244,0.121135,0.447568,0,0.463671,0.00056,0.00417316,0,0.00421057,1.44738,0.998612,1.10995,0.0928949,0.343228,0,0.355576
102,1.24087,3.54456,0.408702,0.261227,0.569915,0,0.626931,0.00156,0.00691752,0,0.00709124,1.35447,0.791235,1.09155,0.210519,0.459286,0,0.505235
103,1.1836,3.40523,0.515682,0.407919,0.626273,0,0.747406,0.00305,0.00960557,0,0.0100782,1.2677,0.597543,1.07105,0.344642,0.529125,0,0.631468
104,1.12527,3.26142,0.610694,0.539348,0.63491,0,0.83307,0.00504,0.0122603,0,0.0132558,1.18122,0.404505,1.04972,0.479305,0.564228,0,0.740328
105,1.07154,3.12748,0.692176,0.646039,0.61271,0,0.890382,0.00752,0.0148676,0,0.0166612,1.10302,0.229957,1.02938,0.602907,0.571804,0,0.830937
106,1.02434,3.00864,0.761015,0.727834,0.574724,0,0.927388,0.01049,0.0174292,0,0.0203425,1.03553,0.0793124,1.01092,0.710537,0.561066,0,0.905349
107,0.983795,2.90566,0.819196,0.789061,0.530777,0,0.950969,0.01395,0.0199449,0,0.0243393,0.978418,-0.0481752,0.994534,0.802058,0.53952,0,0.966633
108,0.949129,2.81692,0.868483,0.834246,0.486232,0,0.965602,0.0179,0.0224136,0,0.0286842,0.930296,-0.15559,0.980158,0.87896,0.512293,0,1.01736
109,0.919398,2.74027,0.910612,0.867571,0.443601,0,0.974403,0.02232,0.0248233,0,0.0333823,0.889568,-0.246499,0.967555,0.943629,0.48249,0,1.05983
