Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
2548,1.14111,3.30001,0.583465,0.809574,-0.00302116,0,0.809579,1.00372,0.00309963,0,1.00373,1.20513,0.457876,1.0561,0.709461,-0.00264756,0,0.709466
2549,1.14938,3.32336,0.581363,0.812674,0.00573161,0,0.812694,1.00331,0.00137218,0,1.00331,1.21442,0.478608,1.05659,0.707055,0.00498671,0,0.707073
2550,1.11427,3.23448,0.629195,0.846213,0.0566219,0,0.848105,1.01273,-0.0140943,0,1.01283,1.16469,0.367611,1.04525,0.759432,0.0508152,0,0.76113
2551,1.1123,3.2294,0.631519,0.8495,-0.00222761,0,0.849503,1.01198,0.0145356,0,1.01208,1.162,0.361606,1.04468,0.763732,-0.00200271,0,0.763734
2552,1.138,3.29291,0.59067,0.815456,0.0449616,0,0.816695,1.00552,-0.00430397,0,1.00552,1.19994,0.446298,1.05443,0.71657,0.0395094,0,0.717659
2553,1.15179,3.33054,0.58218,0.814889,0.0307727,0,0.81547,1.00336,-0.00125622,0,1.00336,1.21675,0.483809,1.0564,0.707499,0.0267173,0,0.708003
2554,0.959268,2.84384,0.857363,0.963503,0.0542525,0,0.965029,0.696421,-0.551414,0,0.88829,0.943372,-0.126401,0.983429,1.00441,0.0565562,0,1.00601
2555,1.07735,3.14334,0.688367,0.888455,0.0632719,0,0.890705,1.03406,-0.0547121,0,1.03551,1.11005,0.245658,1.03036,0.82467,0.0587294,0,0.826759
2556,1.08997,3.17501,0.669905,0.871385,0.115384,0,0.878991,-0.0988721,0.0896732,0,0.13348,1.12823,0.286234,1.0351,0.799456,0.10586,0,0.806435
2557,1.0602,3.10045,0.713997,0.9061,-0.0133364,0,0.906198,1.05363,0.131724,0,1.06183,1.08527,0.190326,1.02364,0.854647,-0.0125791,0,0.85474
2558,1.06603,3.11529,0.706187,0.900304,0.0572446,0,0.902122,1.0531,-0.0746894,0,1.05574,1.09343,0.208558,1.0257,0.844537,0.0536987,0,0.846242
2559,0.973773,2.88109,0.837128,0.95742,0.0611868,0,0.959373,0.789934,-0.516105,0,0.943589,0.963397,-0.0817031,0.989344,0.983206,0.0628347,0,0.985212
2560,1.13079,3.275,0.601796,0.825782,-0.00228567,0,0.825785,1.00597,0.00573212,0,1.00599,1.18939,0.422751,1.05182,0.730269,-0.0020213,0,0.730272
2561,1.13447,3.28402,0.595622,0.82054,-0.00139916,0,0.820542,1.00532,0.00449204,0,1.00533,1.19491,0.435074,1.05327,0.723278,-0.00123331,0,0.723279
2562,1.16772,3.36795,0.549241,0.780445,0.059533,0,0.782712,-0.0653887,-0.00390871,0,0.0655054,1.24225,0.540743,1.06382,0.668347,0.050982,0,0.670288
2563,0.924763,2.75479,0.905425,0.97102,0.0911744,0,0.975291,0.0801039,0.420459,0,0.428021,0.8962,-0.231697,0.969113,1.05002,0.0985922,0,1.05464
2564,1.11123,3.22834,0.639053,0.851913,0.102443,0,0.85805,-0.0962065,0.0538959,0,0.110274,1.15883,0.354524,1.04283,0.766639,0.0921886,0,0.772162
2565,0.872671,2.61898,0.977846,0.981999,0.0320134,0,0.982521,0.271502,0.521165,0,0.587644,0.826351,-0.38761,0.946921,1.12528,0.0366844,0,1.12588
2566,1.05792,3.09487,0.717875,0.906781,0.0590723,0,0.908704,1.05842,-0.101756,0,1.0633,1.08184,0.182682,1.02261,0.857133,0.055838,0,0.85895
2567,1.09908,3.19685,0.653016,0.863356,0.0645718,0,0.865767,1.01803,-0.0263986,0,1.01837,1.14234,0.317734,1.03936,0.785526,0.0587508,0,0.78772
2568,1.09363,3.18335,0.661555,0.869582,0.0626668,0,0.871837,1.02242,-0.0319145,0,1.02292,1.13433,0.299853,1.03722,0.795134,0.0573016,0,0.797196
