"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
        139,              1.39,      -10.65741321,      -11.55078408,      -11.94789687,                 0,       1.092814526,   -0.005771599941,      0.1158369471
        140,               1.4,        -10.657259,      -11.54934677,      -11.95345544,                 0,       1.092221742,   -0.005979642291,      0.1156540075
        141,              1.41,      -10.65679896,      -11.54777933,      -11.95670535,                 0,       1.091640419,   -0.006135094139,        0.11546675
        142,              1.42,      -10.65725827,      -11.54763214,      -11.95888376,                 0,       1.091068528,   -0.006235470325,      0.1152754159
        143,              1.43,      -10.65939195,      -11.54977499,      -11.96086413,                 0,       1.090504447,   -0.006278619041,      0.1150802462
        144,              1.44,      -10.66320948,       -11.5541791,      -11.96280721,                 0,       1.089946299,   -0.006262723746,      0.1148814822
        145,              1.45,      -10.66813853,      -11.55966801,       -11.9641661,                 0,        1.08939507,   -0.006186426672,      0.1146793659
        146,              1.46,      -10.67322958,       -11.5658959,       -11.9644871,                 0,       1.088850419,   -0.006048970795,      0.1144741402
        147,              1.47,      -10.67758844,      -11.57138715,      -11.96329116,                 0,       1.088310671,    -0.00585026261,      0.1142660496
        148,              1.48,      -10.68091408,      -11.57569556,      -11.96093724,                 0,       1.087775735,   -0.005590930759,      0.1140553392
        149,              1.49,      -10.68346401,      -11.57896628,      -11.95836032,                 0,       1.087245441,   -0.005272193084,      0.1138422548
        150,               1.5,      -10.68578618,       -11.5817182,      -11.95666813,                 0,       1.086719906,   -0.004895735509,      0.1136270414
        151,              1.51,      -10.68839803,      -11.58450562,      -11.95675709,                 0,       1.086199694,    -0.00446370834,      0.1134099427
        152,              1.52,        -10.691588,      -11.58767637,      -11.95911549,                 0,       1.085685659,   -0.003978751136,      0.1131911988
        153,              1.53,      -10.69536998,      -11.59128789,      -11.96377931,                 0,       1.085178682,   -0.003444033013,      0.1129710443
        154,              1.54,      -10.69954597,      -11.59515876,      -11.97038116,                 0,       1.084679451,    -0.00286329517,      0.1127497074
        155,              1.55,      -10.70383832,       -11.5990183,      -11.97826393,                 0,        1.08418836,   -0.002240868699,      0.1125274078
        156,              1.56,      -10.70804071,      -11.60268194,      -11.98663171,                 0,       1.083705495,   -0.001581652468,      0.1123043558
        157,              1.57,      -10.71211905,      -11.60616446,      -11.99469024,                 0,       1.083230668,  -0.0008910526568,      0.1120807519
        158,              1.58,      -10.71621135,        -11.609655,      -12.00172763,                 0,       1.082763483,  -0.0001748970756,      0.1118567855
        159,              1.59,      -10.72051215,      -11.61334777,      -12.00711839,                 0,       1.082303395,   0.0005606554502,      0.1116326352
        160,               1.6,      -10.72509781,      -11.61724665,      -12.01045035,                 0,       1.081849772,    0.001309181514,      0.1114084678
        161,              1.61,      -10.72982879,      -11.62119072,      -12.01180556,                 0,       1.081401956,    0.002064017357,      0.1111844389
        162,              1.62,      -10.73447838,      -11.62519784,      -12.01180748,                 0,       1.080959819,    0.002818290307,      0.1109606925
        163,              1.63,      -10.73875687,      -11.62924001,      -12.01083891,                 0,       1.080524882,    0.003564984204,      0.1107373615
        164,              1.64,      -10.74230953,      -11.63290643,      -12.00840272,                 0,       1.080094837,    0.004296825801,      0.1105145684
        165,              1.65,      -10.74515046,      -11.63606119,      -12.00489507,                 0,        1.07966976,    0.005006600947,      0.1102924256
        166,              1.66,      -10.74740814,      -11.63877057,      -12.00068311,                 0,        1.07924928,    0.005687076663,      0.1100710369
        167,              1.67,      -10.74923902,      -11.64115707,      -11.99626535,                 0,       1.078833185,    0.006331158006,      0.1098504977
        168,              1.68,      -10.75088458,      -11.64341426,      -11.99215596,                 0,       1.078421652,    0.006931955209,      0.1096308958
        169,              1.69,      -10.75251875,      -11.64570522,      -11.98864327,                 0,       1.078015096,    0.007482816308,      0.1094123122
        170,               1.7,      -10.75427778,        -11.648136,      -11.98592422,                 0,       1.077613955,    0.007977375998,      0.1091948213
        171,              1.71,      -10.75622429,      -11.65073425,      -11.98395833,                 0,       1.077218546,    0.008409614885,      0.1089784911
        172,              1.72,      -10.75835246,      -11.65344618,      -11.98256565,                 0,       1.076829039,    0.008773908256,       0.108763383
        173,              1.73,      -10.76060731,      -11.65617595,      -11.98146278,                 0,       1.076445458,    0.009065092719,      0.1085495522
        174,              1.74,      -10.76292477,      -11.65884451,      -11.98034597,                 0,       1.076067716,    0.009278535233,      0.1083370471
        175,              1.75,      -10.76527095,      -11.66143916,      -11.97898373,                 0,       1.075695639,    0.009410206447,      0.1081259089
        176,              1.76,      -10.76766253,      -11.66404534,      -11.97726054,                 0,       1.075329006,    0.009456741331,      0.1079161705
        177,              1.77,      -10.77015121,      -11.66675042,      -11.97516908,                 0,       1.074967617,    0.009415485348,      0.1077078557
        178,              1.78,       -10.7727907,      -11.66970227,      -11.97280797,                 0,       1.074611082,    0.009284527385,      0.1075009783
        179,              1.79,       -10.7756123,      -11.67298537,      -11.97031649,                 0,       1.074259098,    0.009062734089,      0.1072955396
        180,               1.8,      -10.77861223,      -11.67660669,      -11.96785484,                 0,        1.07391136,    0.008749779643,      0.1070915281
        181,              1.81,      -10.78175571,      -11.68049788,      -11.96558895,                 0,       1.073567614,    0.008346162252,      0.1068889181
        182,              1.82,      -10.78499445,      -11.68453352,       -11.9636891,                 0,       1.073227709,     0.00785322385,      0.1066876693
        183,              1.83,      -10.78830257,      -11.68857525,      -11.96234027,                 0,       1.072891605,    0.007273165092,       0.106487726
        184,              1.84,       -10.7916888,      -11.69249775,       -11.9617316,                 0,        1.07255935,    0.006609038492,      0.1062890169
        185,              1.85,      -10.79521017,      -11.69621243,      -11.96205051,                 0,       1.072231081,    0.005864741107,       0.106091456
        186,              1.86,      -10.79895781,      -11.69967215,      -11.96347824,                 0,        1.07190699,    0.005044996892,      0.1058949435
        187,              1.87,      -10.80302293,       -11.7028513,      -11.96619578,                 0,       1.071587317,    0.004155336108,      0.1056993671
        188,              1.88,       -10.8074883,      -11.70575288,      -11.97040807,                 0,        1.07127233,    0.003202082427,      0.1055046052
        189,              1.89,      -10.81240456,      -11.70842701,      -11.97635322,                 0,       1.070962306,    0.002192307583,      0.1053105294
        190,               1.9,      -10.81774819,      -11.71098625,      -11.98417579,                 0,       1.070657529,    0.001133801332,      0.1051170085
        191,              1.91,      -10.82332134,      -11.71351294,      -11.99339574,                 0,       1.070358274,   3.503784243e-05,      0.1049239129
