"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         159,      -7.189828109,      -6.520812209,      -7.417584339,      -7.493872943,      -6.586589145,      -9.543416517
          0,           0,         160,       -7.19591357,      -6.523941788,       -7.42526302,      -7.503422595,      -6.592732474,      -9.543124132
          0,           0,         161,        -7.2019931,      -6.527028962,      -7.432980992,      -7.513122446,      -6.598895474,      -9.542851752
          0,           0,         162,       -7.20794518,      -6.530056297,      -7.440779677,      -7.523053931,      -6.604950983,      -9.542599365
          0,           0,         163,      -7.213654904,      -6.533008085,      -7.448682785,      -7.533269625,      -6.610775017,      -9.542365705
          0,           0,         164,      -7.219019725,      -6.535871138,      -7.456695015,      -7.543788998,       -6.61625422,      -9.542149217
          0,           0,         165,      -7.223954662,      -6.538635527,      -7.464803011,      -7.554598038,      -6.621292992,      -9.541949428
          0,           0,         166,      -7.228396177,      -6.541294564,      -7.472978435,      -7.565653376,      -6.625819243,      -9.541765273
          0,           0,         167,      -7.232301726,      -6.543845055,      -7.481182548,      -7.576889178,      -6.629785008,      -9.541594616
          0,           0,         168,      -7.235658008,      -6.546287239,      -7.489371349,      -7.588230131,      -6.633176399,      -9.541435005
          0,           0,         169,      -7.238473912,      -6.548624739,      -7.497501563,      -7.599594629,      -6.636005248,      -9.541284446
          0,           0,         170,      -7.240779096,      -6.550864317,      -7.505536071,      -7.610910107,      -6.638307374,      -9.541141538
          0,           0,         171,      -7.242620962,      -6.553015273,      -7.513447378,      -7.622123476,      -6.640138422,      -9.541004691
          0,           0,         172,      -7.244061587,      -6.555089022,      -7.521219436,      -7.633205314,      -6.641569345,      -9.540873311
          0,           0,         173,      -7.245172948,      -6.557098434,      -7.528848105,      -7.644149447,      -6.642679848,      -9.540747154
          0,           0,         174,      -7.246033085,      -6.559057187,      -7.536339549,      -7.654974681,       -6.64355372,       -9.54062529
          0,           0,         175,      -7.246722499,      -6.560979061,      -7.543706818,      -7.665717744,      -6.644274577,      -9.540506612
          0,           0,         176,      -7.247320949,      -6.562877652,      -7.550966197,      -7.676425034,      -6.644922456,      -9.540390978
          0,           0,         177,      -7.247904668,      -6.564765783,      -7.558133281,      -7.687143298,      -6.645571348,      -9.540277808
          0,           0,         178,      -7.248543989,      -6.566655067,      -7.565219788,      -7.697911119,      -6.646287452,      -9.540167181
          0,           0,         179,      -7.249301423,       -6.56855561,      -7.572231343,      -7.708752111,      -6.647128065,       -9.54005965
          0,           0,         180,      -7.250230056,       -6.57047574,      -7.579166584,      -7.719670758,      -6.648140821,      -9.539956181
          0,           0,         181,      -7.251372254,      -6.572421829,      -7.586017465,      -7.730650832,      -6.649363154,       -9.53985718
          0,           0,         182,      -7.252759211,      -6.574398175,      -7.592771384,      -7.741658738,      -6.650822426,      -9.539763387
          0,           0,         183,      -7.254410012,      -6.576406984,      -7.599413587,      -7.752648007,      -6.652535293,      -9.539675549
